id_ddr,substate_name_D,fk_estado
520001,AGUASCALIENTES,5201
520012,ENSENADA,5212
520017,COMONDU,5217
520019,LA PAZ,5219
520020,LOS CABOS,5220
520018,MULEGE,5218
520023,CAMPECHE,5223
520025,CHAMPOTON,5225
520030,ESCARCEGA,5230
520026,HECELCHAKAN,5226
520099,COMITAN DE DOMINGUEZ,5299
520137,MOTOZINTLA,5237
520145,PALENQUE,5245
520148,PICHUCALCO,5248
520158,SAN CRISTOBAL DE LAS CASAS,5258
522405,SELVA LACANDONA,5205
520169,TAPACHULA,5269
520176,TONALA,5276
520180,TUXTLA GUTIERREZ,5280
520187,VILLAFLORES,5287
522383,BAJO RIO CONCHOS,5283
520205,BALLEZA,5205
520208,BUENAVENTURA,5208
520211,CASAS GRANDES,5211
520217,CHIHUAHUA,5217
520213,COYAME DEL SOTOL,5213
520215,CUAUHTEMOC,5215
520219,DELICIAS,5219
522393,EL CARMEN,5293
520230,HIDALGO DEL PARRAL,5230
520238,MADERA,5238
522402,PAPIGOCHI,5202
522403,RIO FLORIDO,5203
522404,SAN JUANITO,5204
522408,VALLE DE JUAREZ,5208
520034,ACUÑA,5234
520042,FRONTERA,5242
522398,LAGUNA-COAHUILA,5298
520060,SABINAS,5260
520062,SALTILLO,5262
520072,COLIMA,5272
520079,TECOMAN,5279
520277,XOCHIMILCO,5277
520286,DURANGO,5286
522394,EL SALTO,5294
520289,GUADALUPE VICTORIA,5289
522399,LAGUNA-DURANGO,5299
520313,SANTIAGO PAPASQUIARO,5213
522410,VILLA OCAMPO,5210
520327,CELAYA,5227
520331,CORTAZAR,5231
520334,DOLORES HIDALGO,5234
520340,LEON,5240
520353,SAN LUIS DE LA PAZ,5253
522382,ALTAMIRANO,5282
520377,ATOYAC DE ALVAREZ,5277
520395,CHILPANCINGO DE LOS BRAVO,5295
520401,IGUALA DE LA INDEPENDENCIA,5201
522400,LAS VIGAS,5200
520432,TLAPA DE COMONFORT,5232
520470,HUAUTLA,5270
520473,HUEJUTLA DE REYES,5273
520474,HUICHAPAN,5274
520486,MIXQUIAHUALA DE JUAREZ,5286
520493,PACHUCA DE SOTO,5293
520522,TULANCINGO DE BRAVO,5222
520526,ZACUALTIPAN DE ANGELES,5226
520535,AMECA,5235
522390,CIUDAD GUZMAN,5290
520554,COLOTLAN,5254
520566,EL GRULLO,5266
520547,LA BARCA,5247
520582,LAGOS DE MORENO,5282
520629,TOMATLAN,5229
520649,ZAPOPAN,5249
520667,ATLACOMULCO,5267
520674,COATEPEC HARINAS,5274
520698,JILOTEPEC,5298
520735,TEJUPILCO,5235
520752,TEXCOCO,5252
520759,TOLUCA,5259
520763,VALLE DE BRAVO,5263
520773,ZUMPANGO,5273
520780,AGUILILLA,5280
520784,APATZINGAN,5284
520792,COAHUAYANA,5292
520816,HUETAMO,5216
520813,LA HUACANA,5213
520847,LA PIEDAD,5247
520830,LAZARO CARDENAS,5230
520831,MORELIA,5231
520844,PATZCUARO,5244
520854,SAHUAYO,5254
520880,URUAPAN,5280
520886,ZAMORA,5286
520890,ZITACUARO,5290
520922,ZACATEPEC DE HIDALGO,5222
520925,ACAPONETA,5225
520926,AHUACATLAN,5226
520928,COMPOSTELA,5228
520939,SANTIAGO IXCUINTLA,5239
520941,TEPIC,5241
520949,ANAHUAC,5249
520950,APODACA,5250
520961,GALEANA,5261
520982,MONTEMORELOS,5282
522385,CAÑADA,5285
522392,COSTA,5292
521023,HEROICA CIUDAD DE EJUTLA DE CRESPO,5223
521034,HEROICA CIUDAD DE HUAJUAPAN DE LEON,5234
522396,ISTMO,5296
522406,SIERRA JUAREZ,5206
522407,TUXTEPEC,5207
522409,VALLES CENTRALES,5209
521566,HUAUCHINANGO,5266
521580,IZUCAR DE MATAMOROS,5280
521589,LIBRES,5289
521635,SAN PEDRO CHOLULA,5235
521649,TECAMACHALCO,5249
521651,TEHUACAN,5251
521669,TEZIUTLAN,5269
521703,ZACATLAN,5203
521716,CADEREYTA DE MONTES,5216
521721,JALPAN DE SERRA,5221
521726,QUERETARO,5226
521728,SAN JUAN DEL RIO,5228
522386,CANCUN,5286
522387,CHETUMAL,5287
521732,FELIPE CARRILLO PUERTO,5232
521749,CIUDAD FERNANDEZ,5249
521751,CIUDAD VALLES,5251
521754,EBANO,5254
521758,MATEHUALA,5258
521762,RIOVERDE,5262
521763,SALINAS,5263
521766,SAN LUIS POTOSI,5266
521802,CULIACAN,5202
522395,GUAMUCHIL,5295
521807,GUASAVE,5207
522397,LA CRUZ,5297
522401,LOS MOCHIS,5201
521808,MAZATLAN,5208
521816,AGUA PRIETA,5216
521831,CABORCA,5231
521832,CAJEME,5232
521843,GUAYMAS,5243
521844,HERMOSILLO,5244
521850,MAGDALENA,5250
521851,MAZATAN,5251
521852,MOCTEZUMA,5252
521856,NAVOJOA,5256
521866,SAHUARIPA,5266
521880,URES,5280
521888,CARDENAS,5288
521893,EMILIANO ZAPATA,5293
522411,VILLAHERMOSA,5211
521904,ABASOLO,5204
522391,CONTROL,5291
521924,EL MANTE,5224
521915,GONZALEZ,5215
521918,GUSTAVO DIAZ ORDAZ,5218
521920,JAUMAVE,5220
521930,NUEVO LAREDO,5230
521938,SAN FERNANDO,5238
521944,VICTORIA,5244
521952,CALPULALPAN,5252
521959,HUAMANTLA,5259
521979,TLAXCALA,5279
522388,CHOAPAS,5288
522389,CIUDAD ALEMAN,5289
522044,COATEPEC,5244
522074,FORTIN,5274
522078,HUAYACOCOTLA,5278
522095,JALTIPAN,5295
522022,LA ANTIGUA,5222
522108,MARTINEZ DE LA TORRE,5208
522129,PANUCO,5229
522147,SAN ANDRES TUXTLA,5247
522195,TUXPAM,5295
522199,VERACRUZ,5299
522268,MERIDA,5268
522307,TICUL,5207
522314,TIZIMIN,5214
522320,VALLADOLID,5220
522331,CONCEPCION DEL ORO,5231
522334,FRESNILLO,5234
522343,JALPA,5243
522344,JEREZ,5244
522360,OJOCALIENTE,5260
522363,RIO GRANDE,5263
522372,TLALTENANGO DE SANCHEZ ROMAN,5272
522380,ZACATECAS,5280
